Freq.	V(vo)
1.16931647297180e+002	(-1.36487758897644e-001dB,-1.03405354838707e+001°)
1.17200932987205e+002	(-1.37109650449200e-001dB,-1.03639527499352e+001°)
1.17470838823996e+002	(-1.37734341815377e-001dB,-1.03874212606346e+001°)
1.17741366235708e+002	(-1.38361845296973e-001dB,-1.04109411160802e+001°)
1.18012516653787e+002	(-1.38992173246104e-001dB,-1.04345124164978e+001°)
1.18284291512975e+002	(-1.39625338066387e-001dB,-1.04581352622269e+001°)
1.18556692251316e+002	(-1.40261352213165e-001dB,-1.04818097537201e+001°)
1.18829720310169e+002	(-1.40900228193642e-001dB,-1.05055359915430e+001°)
1.19103377134210e+002	(-1.41541978567126e-001dB,-1.05293140763736e+001°)
1.19377664171443e+002	(-1.42186615945195e-001dB,-1.05531441090017e+001°)
1.19652582873207e+002	(-1.42834152991886e-001dB,-1.05770261903285e+001°)
1.19928134694181e+002	(-1.43484602423925e-001dB,-1.06009604213661e+001°)
1.20204321092398e+002	(-1.44137977010846e-001dB,-1.06249469032371e+001°)
1.20481143529245e+002	(-1.44794289575267e-001dB,-1.06489857371739e+001°)
1.20758603469477e+002	(-1.45453552993038e-001dB,-1.06730770245183e+001°)
1.21036702381221e+002	(-1.46115780193438e-001dB,-1.06972208667212e+001°)
1.21315441735985e+002	(-1.46780984159379e-001dB,-1.07214173653415e+001°)
1.21594823008667e+002	(-1.47449177927604e-001dB,-1.07456666220464e+001°)
1.21874847677558e+002	(-1.48120374588887e-001dB,-1.07699687386101e+001°)
1.22155517224359e+002	(-1.48794587288197e-001dB,-1.07943238169137e+001°)
1.22436833134179e+002	(-1.49471829224948e-001dB,-1.08187319589447e+001°)
1.22718796895549e+002	(-1.50152113653150e-001dB,-1.08431932667960e+001°)
1.23001410000426e+002	(-1.50835453881631e-001dB,-1.08677078426659e+001°)
1.23284673944206e+002	(-1.51521863274224e-001dB,-1.08922757888574e+001°)
1.23568590225726e+002	(-1.52211355249984e-001dB,-1.09168972077772e+001°)
1.23853160347275e+002	(-1.52903943283360e-001dB,-1.09415722019357e+001°)
1.24138385814605e+002	(-1.53599640904427e-001dB,-1.09663008739464e+001°)
1.24424268136931e+002	(-1.54298461699055e-001dB,-1.09910833265247e+001°)
1.24710808826946e+002	(-1.55000419309120e-001dB,-1.10159196624881e+001°)
1.24998009400827e+002	(-1.55705527432729e-001dB,-1.10408099847550e+001°)
1.25285871378241e+002	(-1.56413799824384e-001dB,-1.10657543963445e+001°)
1.25574396282357e+002	(-1.57125250295205e-001dB,-1.10907530003758e+001°)
1.25863585639849e+002	(-1.57839892713138e-001dB,-1.11158059000670e+001°)
1.26153440980909e+002	(-1.58557741003147e-001dB,-1.11409131987355e+001°)
1.26443963839253e+002	(-1.59278809147413e-001dB,-1.11660749997963e+001°)
1.26735155752127e+002	(-1.60003111185544e-001dB,-1.11912914067623e+001°)
1.27027018260319e+002	(-1.60730661214791e-001dB,-1.12165625232429e+001°)
1.27319552908165e+002	(-1.61461473390236e-001dB,-1.12418884529440e+001°)
1.27612761243556e+002	(-1.62195561925004e-001dB,-1.12672692996670e+001°)
1.27906644817950e+002	(-1.62932941090471e-001dB,-1.12927051673081e+001°)
1.28201205186377e+002	(-1.63673625216460e-001dB,-1.13181961598579e+001°)
1.28496443907448e+002	(-1.64417628691466e-001dB,-1.13437423814006e+001°)
1.28792362543362e+002	(-1.65164965962838e-001dB,-1.13693439361132e+001°)
1.29088962659918e+002	(-1.65915651537021e-001dB,-1.13950009282650e+001°)
1.29386245826521e+002	(-1.66669699979720e-001dB,-1.14207134622171e+001°)
1.29684213616187e+002	(-1.67427125916144e-001dB,-1.14464816424211e+001°)
1.29982867605558e+002	(-1.68187944031211e-001dB,-1.14723055734191e+001°)
1.30282209374905e+002	(-1.68952169069724e-001dB,-1.14981853598427e+001°)
1.30582240508139e+002	(-1.69719815836636e-001dB,-1.15241211064119e+001°)
1.30882962592819e+002	(-1.70490899197204e-001dB,-1.15501129179353e+001°)
1.31184377220160e+002	(-1.71265434077243e-001dB,-1.15761608993084e+001°)
1.31486485985039e+002	(-1.72043435463311e-001dB,-1.16022651555136e+001°)
1.31789290486009e+002	(-1.72824918402917e-001dB,-1.16284257916190e+001°)
1.32092792325304e+002	(-1.73609898004767e-001dB,-1.16546429127779e+001°)
